Tweet,Target,Stance,Opinion Towards,Sentiment,Tweet Id
@GovAndyBeshear Would you rather have loss of JOBS or loss of LIVES on your conscious? Especially with opening schools where most kids are attending. COVID cases are going to spread more rapidly than ever. Why take the “let’s wait and see approach?”,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1284157078555234312
"#SocialDistancing is the only option to stop the spread of #COVID19. Protect yourself and your loved ones by staying at home!
#IndiaFightsCOVID19 
",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.24488295539621E+018
"When you have people listening to you (as dumb as they are). It means you need to watch your fucking mouth. COVID IS NOT A JOKE. It's not the fucking flu, it's not pnemonia. It's SARS-CoV-2 #StayAtHome",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1290631866551214080
"@AusDebater @JVartndesign @jillastark No, we have vaccines for the plague.  And antibiotics.
COVID19 is a virus (antibiotics don't work) and there is no vaccine yet.  If not for modern hygiene, hospital care, ventilators and of course social distancing, this virus would be killing many more.",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,1289778985446957058
"@thehill Me to 8yr old: Do you miss school? Are you excited to go back? 

8yo: ALREADY?! NOOO!

Believe it or not, our kids DO love us &amp; loke being @home with us. Mine love having their dad wk from home. 
And when school starts in Aug. they’ll be safe at home w/us then too.",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1282939649510346753
"@sgtfible @CristinaAlesci @Walmart If you catch COVID19 and expire because you're too stupid to wear a mask or social distance, then yeah, you probably WON'T shop there anymore. #Dumbass #COVIDIOTS #TrumpVirus #WearADamnMask",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1283455284137123841
"People who refused to #WearAMask show up sick in #Arizona hospitals desperate for help to save their lives. Suddenly it's no longer a #hoaxvirus for them. How many people did they infect? @dougducey @drcarachrist
#Republicans 

#Covid19 #stayhome",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1281065957163597827
"@PeterNavarro45 racist #TrumpChump #Cult45. #WhiteHouse  #CNN 

#COVID19 #WearAMaskSaveALife ",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1280477819651239937
"We can get through this crazy time together but for now this is not funny it’s something to take serious it’s not right to put people or yourself in danger just because you don’t think COVID-19 isn’t real because it is real, take it seriously",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,1287827595795496966
@nytimes We have descended into a species with a 30 second attention span. Being vigilant for 2 weeks is clearly impossible. #WearAMask,support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1284304120514396160
@McAlistersDeli Right .. for 2$ less savings for staying home . #StayAtHome,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1290746301009854466
"@yotesrhungry @dougducey .@GOP #Koch #ALEC #TrumpPence #bootlicker @9thFloorAZ @The_RGA &amp; #TrumpPence won’t stop killing Americans until whole #families are televised falling dead in the streets from #coronavirus

#COVID19 kills

#SocialDistancingWorks to #SlowTheSpread

#WearMasks ",support,FAVOR,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.27293768477268E+018
"Good morning fam, just an ernest appeal;
 1. When in public let's always mask up and use sanitizer.
2. At least a cup of ginger tea in the morning and at night.
3. Let's stay home when we can.
4. Let's continue and enhance the safe practices. 
#COVID19",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1285810667728011264
"The ministry also announced 377 additional cases of recovery, bringing the total number of recoveries to 105,018. In addition, 1 new death was registered.

#QBSRadio #QBSnews #Qatar #COVID19 #CoronaVirusUpdates #YourSafetyIsMySafety #StaySafeStayHealthy",support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286338674968363012
Taylor not putting her album in physical stores is the definition of carrying about people’s safety.,support,FAVOR,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1286271085680500736
